split,contrast,n_seeds,n_odors,mean_delta,seed_bootstrap_ci_low,seed_bootstrap_ci_high,positive_odors,negative_odors,zero_odors
all,real_training_only_minus_symmetrized,20,240,-0.05494224178103694,-0.07916522285094636,-0.033874843461195625,109,113,18
all,real_retrieval_only_minus_symmetrized,20,240,0.6770849448650386,0.6435465346019476,0.7091667867077641,236,4,0
all,real_both_minus_symmetrized,20,240,1.1156689784504803,1.0720808669027135,1.1604898300723034,240,0,0
all,mirror_both_minus_symmetrized,20,240,-1.0022982170660104,-1.0499663182962393,-0.956378910648113,1,239,0
development,real_training_only_minus_symmetrized,10,120,-0.06602395022753792,-0.10448194554141013,-0.03338876650222901,56,56,8
development,real_retrieval_only_minus_symmetrized,10,120,0.6687334392193774,0.6188993987665343,0.710289987273303,118,2,0
development,real_both_minus_symmetrized,10,120,1.127275903724746,1.0731895401989147,1.188364141558433,120,0,0
development,mirror_both_minus_symmetrized,10,120,-0.9955237406850267,-1.0730810884124014,-0.9247841366471935,1,119,0
validation,real_training_only_minus_symmetrized,10,120,-0.04386053333453597,-0.07014777560558669,-0.01801496322591272,53,57,10
validation,real_retrieval_only_minus_symmetrized,10,120,0.6854364505106998,0.6394081815873079,0.7337793423614548,118,2,0
validation,real_both_minus_symmetrized,10,120,1.1040620531762149,1.038455196706381,1.169565921338527,120,0,0
validation,mirror_both_minus_symmetrized,10,120,-1.0090726934469945,-1.0643743719237775,-0.9531232816519277,0,120,0
