family,specification,subtype_threshold,metric,source_filter,spatial_adjustment,bootstrap_unit,n_subtypes,n_observations,estimate,estimate_pp,display_unit,positive,rank_by_estimate
KC-level estimator,threshold=20; fraction; cell-weighted,20,fraction,not_applicable,none,KC,9,5172,0.0032067162884113235,0.3206716288411324,percentage points,True,44.0
KC-level estimator,threshold=20; fraction; subtype-equal,20,fraction,not_applicable,none,subtype,9,5172,0.004281196663768455,0.4281196663768455,percentage points,True,68.0
KC-level estimator,threshold=20; absolute_mass_per_kc; cell-weighted,20,absolute_mass_per_kc,not_applicable,none,KC,9,5172,0.2857326987383799,0.2857326987383799,native units,True,38.0
KC-level estimator,threshold=20; absolute_mass_per_kc; subtype-equal,20,absolute_mass_per_kc,not_applicable,none,subtype,9,5172,0.47417883378559833,0.47417883378559833,native units,True,73.0
KC-level estimator,threshold=20; logit_fraction; cell-weighted,20,logit_fraction,not_applicable,none,KC,9,5172,0.35248096162387466,0.35248096162387466,native units,True,49.0
KC-level estimator,threshold=20; logit_fraction; subtype-equal,20,logit_fraction,not_applicable,none,subtype,9,5172,0.3877281545849831,0.3877281545849831,native units,True,59.0
KC-level estimator,threshold=20; compositional_logratio; cell-weighted,20,compositional_logratio,not_applicable,none,KC,9,5172,0.35253315127142404,0.35253315127142404,native units,True,52.0
KC-level estimator,threshold=20; compositional_logratio; subtype-equal,20,compositional_logratio,not_applicable,none,subtype,9,5172,0.38777388042367444,0.38777388042367444,native units,True,62.0
KC-level estimator,threshold=30; fraction; cell-weighted,30,fraction,not_applicable,none,KC,9,5172,0.0032067162884113235,0.3206716288411324,percentage points,True,45.0
KC-level estimator,threshold=30; fraction; subtype-equal,30,fraction,not_applicable,none,subtype,9,5172,0.004281196663768455,0.4281196663768455,percentage points,True,69.0
KC-level estimator,threshold=30; absolute_mass_per_kc; cell-weighted,30,absolute_mass_per_kc,not_applicable,none,KC,9,5172,0.2857326987383799,0.2857326987383799,native units,True,39.0
KC-level estimator,threshold=30; absolute_mass_per_kc; subtype-equal,30,absolute_mass_per_kc,not_applicable,none,subtype,9,5172,0.47417883378559833,0.47417883378559833,native units,True,74.0
KC-level estimator,threshold=30; logit_fraction; cell-weighted,30,logit_fraction,not_applicable,none,KC,9,5172,0.35248096162387466,0.35248096162387466,native units,True,50.0
KC-level estimator,threshold=30; logit_fraction; subtype-equal,30,logit_fraction,not_applicable,none,subtype,9,5172,0.3877281545849831,0.3877281545849831,native units,True,60.0
KC-level estimator,threshold=30; compositional_logratio; cell-weighted,30,compositional_logratio,not_applicable,none,KC,9,5172,0.35253315127142404,0.35253315127142404,native units,True,53.0
KC-level estimator,threshold=30; compositional_logratio; subtype-equal,30,compositional_logratio,not_applicable,none,subtype,9,5172,0.38777388042367444,0.38777388042367444,native units,True,63.0
KC-level estimator,threshold=50; fraction; cell-weighted,50,fraction,not_applicable,none,KC,9,5172,0.0032067162884113235,0.3206716288411324,percentage points,True,46.0
KC-level estimator,threshold=50; fraction; subtype-equal,50,fraction,not_applicable,none,subtype,9,5172,0.004281196663768455,0.4281196663768455,percentage points,True,70.0
KC-level estimator,threshold=50; absolute_mass_per_kc; cell-weighted,50,absolute_mass_per_kc,not_applicable,none,KC,9,5172,0.2857326987383799,0.2857326987383799,native units,True,40.0
KC-level estimator,threshold=50; absolute_mass_per_kc; subtype-equal,50,absolute_mass_per_kc,not_applicable,none,subtype,9,5172,0.47417883378559833,0.47417883378559833,native units,True,75.0
KC-level estimator,threshold=50; logit_fraction; cell-weighted,50,logit_fraction,not_applicable,none,KC,9,5172,0.35248096162387466,0.35248096162387466,native units,True,51.0
KC-level estimator,threshold=50; logit_fraction; subtype-equal,50,logit_fraction,not_applicable,none,subtype,9,5172,0.3877281545849831,0.3877281545849831,native units,True,61.0
KC-level estimator,threshold=50; compositional_logratio; cell-weighted,50,compositional_logratio,not_applicable,none,KC,9,5172,0.35253315127142404,0.35253315127142404,native units,True,54.0
KC-level estimator,threshold=50; compositional_logratio; subtype-equal,50,compositional_logratio,not_applicable,none,subtype,9,5172,0.38777388042367444,0.38777388042367444,native units,True,64.0
KC-level estimator,threshold=100; fraction; cell-weighted,100,fraction,not_applicable,none,KC,8,5044,0.0032144552089096263,0.3214455208909626,percentage points,True,47.0
KC-level estimator,threshold=100; fraction; subtype-equal,100,fraction,not_applicable,none,subtype,8,5044,0.004361427294802593,0.43614272948025934,percentage points,True,71.0
KC-level estimator,threshold=100; absolute_mass_per_kc; cell-weighted,100,absolute_mass_per_kc,not_applicable,none,KC,8,5044,0.2812682881021509,0.2812682881021509,native units,True,37.0
KC-level estimator,threshold=100; absolute_mass_per_kc; subtype-equal,100,absolute_mass_per_kc,not_applicable,none,subtype,8,5044,0.44607591345865905,0.44607591345865905,native units,True,72.0
KC-level estimator,threshold=100; logit_fraction; cell-weighted,100,logit_fraction,not_applicable,none,KC,8,5044,0.35751198302279974,0.35751198302279974,native units,True,55.0
