split,contrast,n_seeds,n_odors,mean_delta,seed_bootstrap_ci_low,seed_bootstrap_ci_high,positive_odors,negative_odors,zero_odors
all,real_minus_symmetrized,20,240,1.8950326728865244e-06,1.7800044916900976e-06,2.00972794844508e-06,236,4,0
all,mirror_minus_symmetrized,20,240,-1.6153145428650837e-06,-1.7143398390473407e-06,-1.5206563812360706e-06,5,235,0
all,real_minus_mirror,20,240,3.510347215751608e-06,3.3231681208671184e-06,3.701965338459937e-06,238,2,0
all,real_dose_2_minus_real,20,240,2.132809330390728e-06,2.028746251336125e-06,2.252799165187724e-06,240,0,0
all,real_dose_3_minus_real_dose_2,20,240,2.31821913914132e-06,2.20066965261149e-06,2.4504115320193392e-06,239,1,0
development,real_minus_symmetrized,10,120,1.891095925543596e-06,1.718801485258344e-06,2.0563915718696533e-06,118,2,0
development,mirror_minus_symmetrized,10,120,-1.655938295167895e-06,-1.808382823469401e-06,-1.523250073489635e-06,1,119,0
development,real_minus_mirror,10,120,3.5470342207114904e-06,3.2792346828121785e-06,3.839590660893085e-06,119,1,0
development,real_dose_2_minus_real,10,120,2.133639053643795e-06,1.972766647592531e-06,2.3263437643095126e-06,120,0,0
development,real_dose_3_minus_real_dose_2,10,120,2.2817796301903096e-06,2.1124755448909125e-06,2.4789002864148798e-06,119,1,0
validation,real_minus_symmetrized,10,120,1.8989694202294532e-06,1.7511467791090735e-06,2.0614898130825547e-06,118,2,0
validation,mirror_minus_symmetrized,10,120,-1.574690790562272e-06,-1.6950616576139058e-06,-1.44747376111809e-06,4,116,0
validation,real_minus_mirror,10,120,3.4736602107917253e-06,3.2238028776276905e-06,3.722839158631549e-06,119,1,0
validation,real_dose_2_minus_real,10,120,2.131979607137661e-06,2.0188838339644613e-06,2.277884574652944e-06,120,0,0
validation,real_dose_3_minus_real_dose_2,10,120,2.35465864809233e-06,2.2057838097685093e-06,2.5312724744708246e-06,120,0,0
